way,name,way_id,node_id,highway,lat,lng,bearing
"<overpy.Way id=117041263 nodes=[1318513003, 1318512920, 6365357164, 1318512973]>",n/a,117041263,1318512973,service,1.2753932,103.8466216,
"<overpy.Way id=75502669 nodes=[1318512980, 1318532531]>",Anson Road,75502669,1318512980,trunk,1.2759542,103.8466158,40.79467369132482
"<overpy.Way id=75502669 nodes=[1318512980, 1318532531]>",Anson Road,75502669,1318532531,trunk,1.2760880,103.8467313,
"<overpy.Way id=117041263 nodes=[1318513003, 1318512920, 6365357164, 1318512973]>",n/a,117041263,1318513003,service,1.2754298,103.8466431,187.47549873061047
"<overpy.Way id=117041263 nodes=[1318513003, 1318512920, 6365357164, 1318512973]>",n/a,117041263,1318512920,service,1.2754138,103.8466410,223.30822978789521
"<overpy.Way id=117041263 nodes=[1318513003, 1318512920, 6365357164, 1318512973]>",n/a,117041263,6365357164,service,1.2753963,103.8466245,223.0837650977635
"<overpy.Way id=117041263 nodes=[1318513003, 1318512920, 6365357164, 1318512973]>",n/a,117041263,1318512973,service,1.2753932,103.8466216,
"<overpy.Way id=633434160 nodes=[1318693247, 6953133123, 246806171, 1318513003, 6363741200, 237154438]>",Prince Edward Road,633434160,1318693247,tertiary,1.2752408,103.8469314,297.3053570883124
"<overpy.Way id=633434160 nodes=[1318693247, 6953133123, 246806171, 1318513003, 6363741200, 237154438]>",Prince Edward Road,633434160,6953133123,tertiary,1.2752552,103.8469035,298.88598328486336
"<overpy.Way id=633434160 nodes=[1318693247, 6953133123, 246806171, 1318513003, 6363741200, 237154438]>",Prince Edward Road,633434160,246806171,tertiary,1.2753691,103.8466970,318.40281620147766
"<overpy.Way id=633434160 nodes=[1318693247, 6953133123, 246806171, 1318513003, 6363741200, 237154438]>",Prince Edward Road,633434160,1318513003,tertiary,1.2754298,103.8466431,338.5340820477346
"<overpy.Way id=633434160 nodes=[1318693247, 6953133123, 246806171, 1318513003, 6363741200, 237154438]>",Prince Edward Road,633434160,6363741200,tertiary,1.2757532,103.8465159,338.5228018201077
"<overpy.Way id=633434160 nodes=[1318693247, 6953133123, 246806171, 1318513003, 6363741200, 237154438]>",Prince Edward Road,633434160,237154438,tertiary,1.2758152,103.8464915,
"<overpy.Way id=117041262 nodes=[1318513004, 1318513023]>",n/a,117041262,1318513004,service,1.2761318,103.8455576,353.59965139025223
"<overpy.Way id=117041262 nodes=[1318513004, 1318513023]>",n/a,117041262,1318513023,service,1.2762031,103.8455496,
"<overpy.Way id=117041262 nodes=[1318513004, 1318513023]>",n/a,117041262,1318513004,service,1.2761318,103.8455576,353.59965139025223
"<overpy.Way id=117041262 nodes=[1318513004, 1318513023]>",n/a,117041262,1318513023,service,1.2762031,103.8455496,
"<overpy.Way id=751804399 nodes=[7028019060, 1814200465, 1318544672]>",Choon Guan Street,751804399,7028019060,residential,1.2763081,103.8465178,78.56892652215083
"<overpy.Way id=751804399 nodes=[7028019060, 1814200465, 1318544672]>",Choon Guan Street,751804399,1814200465,residential,1.2763570,103.8467597,70.67598489374006
"<overpy.Way id=751804399 nodes=[7028019060, 1814200465, 1318544672]>",Choon Guan Street,751804399,1318544672,residential,1.2764085,103.8469066,
"<overpy.Way id=22012983 nodes=[4982866863, 1318513023, 7028019060]>",Choon Guan Street,22012983,4982866863,residential,1.2761339,103.8446323,85.68478112211756
"<overpy.Way id=22012983 nodes=[4982866863, 1318513023, 7028019060]>",Choon Guan Street,22012983,1318513023,residential,1.2762031,103.8455496,83.80901449750633
"<overpy.Way id=22012983 nodes=[4982866863, 1318513023, 7028019060]>",Choon Guan Street,22012983,7028019060,residential,1.2763081,103.8465178,
"<overpy.Way id=117042165 nodes=[1318532388, 6953133119, 1318532392, 6365357161, 1318532541, 1318532545]>",n/a,117042165,1318532388,service,1.2752825,103.8472012,177.6559208305223
"<overpy.Way id=117042165 nodes=[1318532388, 6953133119, 1318532392, 6365357161, 1318532541, 1318532545]>",n/a,117042165,6953133119,service,1.2752190,103.8472038,198.84881918272677
"<overpy.Way id=117042165 nodes=[1318532388, 6953133119, 1318532392, 6365357161, 1318532541, 1318532545]>",n/a,117042165,1318532392,service,1.2752067,103.8471996,213.454967360956
"<overpy.Way id=117042165 nodes=[1318532388, 6953133119, 1318532392, 6365357161, 1318532541, 1318532545]>",n/a,117042165,6365357161,service,1.2751893,103.8471881,216.73375939715677
"<overpy.Way id=117042165 nodes=[1318532388, 6953133119, 1318532392, 6365357161, 1318532541, 1318532545]>",n/a,117042165,1318532541,service,1.2751751,103.8471775,224.19718374333473
"<overpy.Way id=117042165 nodes=[1318532388, 6953133119, 1318532392, 6365357161, 1318532541, 1318532545]>",n/a,117042165,1318532545,service,1.2751386,103.8471420,
"<overpy.Way id=634990042 nodes=[1318532396, 1318693253, 1318532545]>",Prince Edward Road,634990042,1318532396,tertiary,1.2750890,103.8472471,295.1236792023321
"<overpy.Way id=634990042 nodes=[1318532396, 1318693253, 1318532545]>",Prince Edward Road,634990042,1318693253,tertiary,1.2751296,103.8471605,295.94787823332945
"<overpy.Way id=634990042 nodes=[1318532396, 1318693253, 1318532545]>",Prince Edward Road,634990042,1318532545,tertiary,1.2751386,103.8471420,
"<overpy.Way id=117042163 nodes=[1318532396, 1318532462, 6365357162, 1318532480]>",n/a,117042163,1318532396,service,1.2750890,103.8472471,13.298074588875863
"<overpy.Way id=117042163 nodes=[1318532396, 1318532462, 6365357162, 1318532480]>",n/a,117042163,1318532462,service,1.2751258,103.8472558,4.382357412247757
"<overpy.Way id=117042163 nodes=[1318532396, 1318532462, 6365357162, 1318532480]>",n/a,117042163,6365357162,service,1.2751545,103.8472580,350.1854875013475
"<overpy.Way id=117042163 nodes=[1318532396, 1318532462, 6365357162, 1318532480]>",n/a,117042163,1318532480,service,1.2752880,103.8472349,
"<overpy.Way id=173791994 nodes=[5233328949, 6363741202, 1318532484, 1318532396]>",Prince Edward Road,173791994,5233328949,tertiary,1.2750441,103.8473522,291.4122587552723
